

  D11 		    1 		   13  		     644
  D11 		   10 		    1
  D11 		 1004 		    1
  D11 		 1010 		   22
  D11 		 1017 		   29
  D11 		 1030 		    1
  D11 		 1036 		    2
  D11 		 1037 		    1
  D11 		 1038 		    2
  D11 		 1040 		    3
  D11 		 1043 		   16
  D11 		 1048 		    1
  D11 		 1049 		    1
  D11 		 1056 		    1
  D11 		 1059 		   16
  D11 		 1071 		    7
  D11 		 1083 		    1
  D11 		 1088 		    6
  D11 		 1094 		  263
  D11 		   11 		    3
  D11 		  110 		    4
  D11 		 1107 		    1
  D11 		  113 		    1
  D11 		 1130 		    2
  D11 		 1137 		   39
  D11 		 1139 		    1
  D11 		 1144 		    1
  D11 		 1145 		   19
  D11 		 1149 		    1
  D11 		 1153 		    1
  D11 		 1155 		    7
  D11 		 1165 		   19
  D11 		 1171 		    8
  D11 		 1173 		    1
  D11 		 1175 		    2
  D11 		 1178 		    1
  D11 		  118 		    1
  D11 		 1183 		   47
  D11 		  119 		    1
  D11 		 1191 		   10
  D11 		 1199 		   48
  D11 		   12 		    2
  D11 		 1209 		    1
  D11 		 1213 		   31
  D11 		 1217 		    1
  D11 		 1220 		    8
  D11 		 1228 		    2
  D11 		 1234 		   29
  D11 		 1267 		    1
  D11 		 1271 		    1
  D11 		 1272 		   96
  D11 		 1287 		    2
  D11 		  129 		   28
  D11 		 1298 		    2
  D11 		  130 		    3
  D11 		 1304 		    9
  D11 		 1305 		    2
  D11 		 1309 		  481
  D11 		 1313 		    1
  D11 		 1324 		    1
  D11 		 1331 		    2
  D11 		 1337 		   42
  D11 		 1338 		    9
  D11 		 1341 		    3
  D11 		 1345 		    2
  D11 		  135 		    2
  D11 		 1351 		   19
  D11 		 1354 		    3
  D11 		 1358 		    2
  D11 		  136 		    7
  D11 		 1375 		   21
  D11 		 1376 		    1
  D11 		 1387 		   12
  D11 		   14 		    7
  D11 		  140 		   16
  D11 		 1404 		   34
  D11 		 1406 		    1
  D11 		 1424 		   10
  D11 		 1435 		    1
  D11 		 1436 		    4
  D11 		 1442 		   18
  D11 		 1449 		    1
  D11 		 1459 		   16
  D11 		 1467 		    1
  D11 		 1468 		    3
  D11 		  147 		    5
  D11 		 1472 		    4
  D11 		 1477 		    5
  D11 		 1482 		    2
  D11 		 1485 		    1
  D11 		 1486 		  233
  D11 		 1499 		   70
  D11 		   15 		    1
  D11 		  150 		    2
  D11 		 1509 		   32
  D11 		 1521 		  245
  D11 		 1523 		    3
  D11 		  153 		    1
  D11 		 1536 		    6
  D11 		  154 		    1
  D11 		 1542 		   19
  D11 		 1553 		   29
  D11 		 1558 		    4
  D11 		  156 		    4
  D11 		 1563 		    2
  D11 		 1567 		    1
  D11 		 1569 		    4
  D11 		 1586 		    4
  D11 		  159 		   25
  D11 		 1591 		   58
  D11 		 1593 		    7
  D11 		 1606 		    2
  D11 		 1611 		    7
  D11 		 1617 		    1
  D11 		 1635 		    3
  D11 		  164 		    9
  D11 		 1649 		    3
  D11 		 1662 		    4
  D11 		 1675 		    1
  D11 		 1678 		    2
  D11 		 1685 		    1
  D11 		  169 		    4
  D11 		 1694 		    1
  D11 		   17 		    2
  D11 		  170 		    1
  D11 		 1701 		   15
  D11 		 1705 		    8
  D11 		 1714 		    5
  D11 		 1719 		   13
  D11 		 1733 		   93
  D11 		 1736 		    1
  D11 		  174 		   63
  D11 		 1741 		    1
  D11 		 1743 		    1
  D11 		 1755 		    1
  D11 		 1756 		   55
  D11 		 1757 		    1
  D11 		 1777 		   11
  D11 		 1781 		    2
  D11 		 1796 		   20
  D11 		 1802 		    4
  D11 		 1806 		    2
  D11 		 1811 		    2
  D11 		 1812 		   46
  D11 		 1817 		    9
  D11 		 1827 		   69
  D11 		  183 		    2
  D11 		 1832 		    2
  D11 		 1837 		    9
  D11 		  184 		    1
  D11 		 1841 		    3
  D11 		 1846 		    1
  D11 		 1864 		   28
  D11 		 1872 		    1
  D11 		 1875 		    4
  D11 		 1884 		    5
  D11 		  189 		    5
  D11 		 1894 		    1
  D11 		 1896 		    1
  D11 		 1904 		    1
  D11 		 1905 		    5
  D11 		 1911 		    4
  D11 		 1914 		    5
  D11 		 1915 		    4
  D11 		 1919 		  184
  D11 		  192 		   64
  D11 		 1924 		   20
  D11 		 1935 		    3
  D11 		  194 		    3
  D11 		 1940 		    1
  D11 		 1948 		    1
  D11 		 1953 		  122
  D11 		 1969 		    3
  D11 		  197 		    1
  D11 		 1975 		    1
  D11 		 1979 		    1
  D11 		 1989 		    1
  D11 		 1993 		    1
  D11 		 1995 		    1
  D11 		  200 		    1
  D11 		 2000 		    7
  D11 		 2009 		    2
  D11 		 2013 		    3
  D11 		 2014 		    2
  D11 		 2016 		   11
  D11 		 2026 		    6
  D11 		 2031 		    5
  D11 		 2036 		    3
  D11 		 2038 		    2
  D11 		 2042 		    3
  D11 		  205 		    1
  D11 		 2072 		    8
  D11 		 2076 		    2
  D11 		 2083 		    4
  D11 		 2088 		  835
  D11 		 2089 		    2
  D11 		 2090 		    1
  D11 		 2098 		  220
  D11 		 2103 		    1
  D11 		 2104 		  165
  D11 		 2105 		   10
  D11 		 2109 		    2
  D11 		 2114 		    2
  D11 		 2124 		   47
  D11 		 2136 		    1
  D11 		  214 		    3
  D11 		 2147 		    9
  D11 		 2157 		    2
  D11 		 2167 		    1
  D11 		 2178 		   26
  D11 		 2183 		    6
  D11 		  219 		    2
  D11 		 2203 		   12
  D11 		 2208 		    1
  D11 		 2209 		   10
  D11 		 2219 		    3
  D11 		 2223 		    5
