Citation Distribution of 1981 Publications Catalogued by the ISI
and Cited Between 1981 and June 1997
This distribution covers all publications from ISI catalogued journals that were published in 1981 and 
cited during the period January 1981 - June 1997. This information was compiled by H. Small and D. 
Pendlebury of the Institute for Scientific Information.

   N	# of papers with N citations

   0 		 368110
   1 		  70836
   2 		  44127
   3 		  32625
   4 		  25910
   5 		  21627
   6 		  18202
   7 		  15595
   8 		  13507
   9 		  12101
  10 		  10751
  11 		   9510
  12 		   8658
  13 		   7815
  14 		   7224
  15 		   6427
  16 		   6085
  17 		   5493
  18 		   5205
  19 		   4697
  20 		   4347
  21 		   3976
  22 		   3776
  23 		   3499
  24 		   3320
  25 		   3065
  26 		   2986
  27 		   2726
  28 		   2499
  29 		   2354
  30 		   2298
  31 		   2125
  32 		   1992
  33 		   1869
  34 		   1721
  35 		   1746
  36 		   1680
  37 		   1537
  38 		   1481
  39 		   1467
  40 		   1228
  41 		   1242
  42 		   1116
  43 		   1138
  44 		   1050
  45 		    995
  46 		    996
  47 		    967
  48 		    919
  49 		    779
  50 		    799
  51 		    848
  52 		    761
  53 		    750
  54 		    666
  55 		    643
  56 		    643
  57 		    611
  58 		    588
  59 		    599
  60 		    563
  61 		    510
  62 		    508
  63 		    534
  64 		    454
  65 		    442
  66 		    450
  67 		    444
  68 		    406
  69 		    386
  70 		    358
  71 		    392
  72 		    368
  73 		    353
  74 		    349
  75 		    311
  76 		    354
  77 		    295
  78 		    271
  79 		    294
  80 		    270
  81 		    278
  82 		    256
  83 		    258
  84 		    242
  85 		    224
  86 		    227
  87 		    235
  88 		    216
  89 		    234
  90 		    190
  91 		    202
  92 		    195
  93 		    184
  94 		    175
  95 		    205
  96 		    194
  97 		    177
  98 		    191
  99 		    182
 100 		    164
 101 		    161
 102 		    133
 103 		    131
 104 		    140
 105 		    139
 106 		    138
 107 		    134
 108 		    129
 109 		    116
 110 		    124
 111 		     93
 112 		    108
 113 		    115
 114 		    102
 115 		    110
 116 		    114
 117 		    105
 118 		    104
 119 		    106
 120 		    107
 121 		    111
 122 		    121
 123 		    101
 124 		     88
 125 		     87
 126 		     94
 127 		    102
 128 		     76
 129 		     83
 130 		     85
 131 		     87
 132 		     71
 133 		     66
 134 		     62
 135 		     76
 136 		     79
 137 		     63
 138 		     64
 139 		     58
 140 		     74
 141 		     71
 142 		     45
 143 		     50
 144 		     49
 145 		     59
 146 		     49
 147 		     48
 148 		     56
 149 		     60
 150 		     64
 151 		     55
 152 		     52
 153 		     53
 154 		     56
 155 		     43
 156 		     35
 157 		     54
 158 		     42
 159 		     38
 160 		     51
 161 		     31
 162 		     38
 163 		     43
 164 		     39
 165 		     43
 166 		     31
 167 		     42
 168 		     43
 169 		     34
 170 		     50
 171 		     42
 172 		     38
 173 		     26
 174 		     33
 175 		     35
 176 		     24
 177 		     37
 178 		     31
 179 		     46
 180 		     32
 181 		     40
 182 		     18
 183 		     30
 184 		     25
 185 		     26
 186 		     42
 187 		     23
 188 		     19
 189 		     38
 190 		     21
 191 		     27
 192 		     84
 193 		     31
 194 		     20
 195 		     25
 196 		     21
 197 		     32
 198 		     19
 199 		     22
 200 		     21
 201 		     17
 202 		     24
 203 		     20
 204 		     19
 205 		     21
 206 		     30
 207 		     24
 208 		     20
 209 		     21
 210 		     22
 211 		     20
 212 		     16
 213 		     21
 214 		     11
 215 		     16
 216 		     17
 217 		     17
 218 		     11
 219 		     11
 220 		     11
 221 		     14
 222 		     16
 223 		     17
 224 		     16
 225 		     16
 226 		     16
 227 		     20
 228 		     10
 229 		     19
 230 		     13
 231 		      6
 232 		     11
 233 		     18
 234 		     10
 235 		     15
 236 		     12
 237 		     11
 238 		     10
 239 		     19
 240 		     15
 241 		      9
 242 		      8
 243 		     14
 244 		      6
 245 		      9
 246 		     15
 247 		     12
 248 		     11
 249 		     10
 250 		     12
 251 		     11
 252 		     15
 253 		      8
 254 		      6
 255 		      7
 256 		      9
 257 		      7
 258 		     16
 259 		     13
 260 		      8
 261 		     10
 262 		     11
 263 		      8
 264 		     10
 265 		     10
 266 		      5
 267 		     11
 268 		      7
 269 		     11
 270 		     11
 271 		      6
 272 		     15
 273 		     14
 274 		     17
 275 		      9
 276 		     13
 277 		      7
 278 		      4
 279 		      7
 280 		     15
 281 		      6
 282 		      7
 283 		      8
 284 		      9
 285 		     12
 286 		      7
 287 		      8
 288 		      3
 289 		      8
 290 		     10
 291 		      5
 292 		      5
 293 		      6
 294 		      5
 295 		      6
 296 		      7
 297 		      4
 298 		      7
 299 		     10
 300 		      6
 301 		      6
 302 		      8
 303 		      8
 304 		      1
 305 		      7
 306 		      4
 307 		      6
 308 		      8
 309 		      2
 310 		      7
 311 		      7
 312 		      9
 313 		      4
 314 		      8
 315 		      6
 316 		      8
 317 		      6
 318 		      3
 319 		      3
 320 		      4
 321 		      2
 322 		      3
 323 		      6
 324 		      6
 325 		      1
 326 		      6
 327 		      8
 328 		      4
 329 		      3
 330 		      5
 331 		      11
 332 		      2
 333 		      5
 335 		      8
 336 		      3
 337 		      7
 338 		      7
 339 		      8
 340 		      5
 341 		      2
 342 		      5
 343 		      4
 344 		      10
 345 		      5
 346 		      6
 347 		      8
 348 		      3
 349 		      2
 350 		      2
 351 		      5
 352 		      1
 353 		      2
 354 		      1
 355 		      1
 356 		      5
 357 		      1
 358 		      4
 359 		      3
 360 		      2
 361 		      2
 362 		      4
 363 		      3
 364 		      6
 365 		      6
 366 		      6
 367 		      5
 368 		      1
 369 		      5
 370 		      1
 371 		      7
 372 		      1
 373 		      4
 374 		      2
